2024-02-21 22:20:00.323794|INFO    |VirtualServer |1  |servergroup 'IGL'(id:44) was added by 'nferdica'(id:3)
2024-02-21 22:20:03.699228|INFO    |VirtualServer |1  |servergroup 'AWPER'(id:45) was added by 'nferdica'(id:3)
2024-02-21 22:20:06.536506|INFO    |VirtualServer |1  |servergroup 'RIFFLER'(id:46) was added by 'nferdica'(id:3)
2024-02-21 22:20:09.732085|INFO    |VirtualServer |1  |servergroup 'LURKER'(id:47) was added by 'nferdica'(id:3)
2024-02-21 22:20:33.383266|INFO    |VirtualServer |1  |permission 'i_icon_id'(id:145) with values (value:2002254269, negated:0, skipchannel:0) was added by 'nferdica'(id:3) to servergroup 'IGL'(id:44)
2024-02-21 22:20:36.804626|INFO    |VirtualServer |1  |permission 'i_icon_id'(id:145) with values (value:-1837143448, negated:0, skipchannel:0) was added by 'nferdica'(id:3) to servergroup 'AWPER'(id:45)
2024-02-21 22:20:50.755776|INFO    |VirtualServer |1  |servergroup 'CAPITAIN'(id:48) was added by 'nferdica'(id:3)
2024-02-21 22:20:56.703425|INFO    |VirtualServer |1  |permission 'i_icon_id'(id:145) with values (value:2099818305, negated:0, skipchannel:0) was added by 'nferdica'(id:3) to servergroup 'CAPITAIN'(id:48)
2024-02-21 22:21:00.211587|INFO    |VirtualServer |1  |servergroup 'AWPER'(id:45) was deleted by 'nferdica'(id:3)
2024-02-21 22:21:03.537768|INFO    |VirtualServer |1  |servergroup 'IGL'(id:44) was deleted by 'nferdica'(id:3)
2024-02-21 22:21:06.863702|INFO    |VirtualServer |1  |servergroup 'RIFFLER'(id:46) was deleted by 'nferdica'(id:3)
2024-02-21 22:21:10.573358|INFO    |VirtualServer |1  |servergroup 'LURKER'(id:47) was deleted by 'nferdica'(id:3)
2024-02-21 22:21:35.019476|INFO    |VirtualServer |1  |client 'tskMONSTER'(id:10) was added to servergroup 'Verificado'(id:7) by client 'nferdica'(id:3)
2024-02-21 22:21:38.371559|INFO    |VirtualServer |1  |client 'YuG'(id:9) was added to servergroup 'Verificado'(id:7) by client 'nferdica'(id:3)
2024-02-21 22:21:43.463828|INFO    |VirtualServer |1  |client 'mestre'(id:6) was added to servergroup 'GC 21'(id:20) by client 'nferdica'(id:3)
2024-02-21 22:21:49.579333|INFO    |VirtualServer |1  |client 'mestre'(id:6) was added to servergroup 'GLOBAL'(id:32) by client 'nferdica'(id:3)
2024-02-21 22:21:57.255326|INFO    |VirtualServer |1  |client 'mestre'(id:6) was added to servergroup 'GC'(id:33) by client 'nferdica'(id:3)
2024-02-21 22:22:01.039361|INFO    |VirtualServer |1  |client 'mestre'(id:6) was added to servergroup 'GOLD 1'(id:21) by client 'nferdica'(id:3)
2024-02-21 22:22:05.992507|INFO    |VirtualServer |1  |client 'mestre'(id:6) was removed from servergroup 'GOLD 1'(id:21) by client 'nferdica'(id:3)
2024-02-21 22:22:13.511684|INFO    |VirtualServer |1  |client 'mestre'(id:6) was added to servergroup '20K'(id:41) by client 'nferdica'(id:3)
2024-02-21 22:26:43.510852|INFO    |VirtualServer |1  |permission 'i_group_auto_update_type'(id:149) with values (value:30, negated:0, skipchannel:0) was added by 'nferdica'(id:3) to servergroup 'GC 10'(id:9)
2024-02-21 22:26:43.511075|INFO    |VirtualServer |1  |permission 'b_virtualserver_token_use'(id:40) with values (value:1, negated:0, skipchannel:0) was added by 'nferdica'(id:3) to servergroup 'GC 10'(id:9)
2024-02-21 22:26:43.511188|INFO    |VirtualServer |1  |permission 'i_client_poke_power'(id:223) with values (value:50, negated:0, skipchannel:0) was added by 'nferdica'(id:3) to servergroup 'GC 10'(id:9)
2024-02-21 22:26:43.511311|INFO    |VirtualServer |1  |permission 'i_client_max_clones_uid'(id:176) with values (value:2, negated:0, skipchannel:0) was added by 'nferdica'(id:3) to servergroup 'GC 10'(id:9)
2024-02-21 22:26:43.511428|INFO    |VirtualServer |1  |permission 'b_client_permissionoverview_view'(id:192) with values (value:1, negated:0, skipchannel:0) was added by 'nferdica'(id:3) to servergroup 'GC 10'(id:9)
2024-02-21 22:26:43.511575|INFO    |VirtualServer |1  |permission 'b_client_permissionoverview_own'(id:193) with values (value:1, negated:0, skipchannel:0) was added by 'nferdica'(id:3) to servergroup 'GC 10'(id:9)
2024-02-21 22:26:43.511680|INFO    |VirtualServer |1  |permission 'i_client_needed_serverquery_view_power'(id:196) with values (value:75, negated:0, skipchannel:0) was added by 'nferdica'(id:3) to servergroup 'GC 10'(id:9)
2024-02-21 22:26:43.511791|INFO    |VirtualServer |1  |permission 'i_client_needed_complain_power'(id:207) with values (value:50, negated:0, skipchannel:0) was added by 'nferdica'(id:3) to servergroup 'GC 10'(id:9)
2024-02-21 22:26:43.511891|INFO    |VirtualServer |1  |permission 'b_channel_join_permanent'(id:134) with values (value:1, negated:0, skipchannel:0) was added by 'nferdica'(id:3) to servergroup 'GC 10'(id:9)
2024-02-21 22:26:43.512046|INFO    |VirtualServer |1  |permission 'b_channel_join_semi_permanent'(id:135) with values (value:1, negated:0, skipchannel:0) was added by 'nferdica'(id:3) to servergroup 'GC 10'(id:9)
2024-02-21 22:26:43.512146|INFO    |VirtualServer |1  |permission 'b_channel_join_temporary'(id:136) with values (value:1, negated:0, skipchannel:0) was added by 'nferdica'(id:3) to servergroup 'GC 10'(id:9)
2024-02-21 22:26:43.512295|INFO    |VirtualServer |1  |permission 'i_channel_join_power'(id:139) with values (value:50, negated:0, skipchannel:0) was added by 'nferdica'(id:3) to servergroup 'GC 10'(id:9)
2024-02-21 22:26:43.512378|INFO    |VirtualServer |1  |permission 'i_channel_description_view_power'(id:143) with values (value:50, negated:0, skipchannel:0) was added by 'nferdica'(id:3) to servergroup 'GC 10'(id:9)
2024-02-21 22:26:43.512465|INFO    |VirtualServer |1  |permission 'i_client_needed_ban_power'(id:203) with values (value:50, negated:0, skipchannel:0) was added by 'nferdica'(id:3) to servergroup 'GC 10'(id:9)
2024-02-21 22:26:43.512525|INFO    |VirtualServer |1  |permission 'i_client_needed_kick_from_server_power'(id:199) with values (value:50, negated:0, skipchannel:0) was added by 'nferdica'(id:3) to servergroup 'GC 10'(id:9)
2024-02-21 22:26:43.512581|INFO    |VirtualServer |1  |permission 'i_client_needed_kick_from_channel_power'(id:201) with values (value:50, negated:0, skipchannel:0) was added by 'nferdica'(id:3) to servergroup 'GC 10'(id:9)
2024-02-21 22:26:43.513791|INFO    |VirtualServer |1  |permission 'i_group_needed_member_add_power'(id:167) with values (value:60, negated:0, skipchannel:0) was added by 'nferdica'(id:3) to servergroup 'GC 10'(id:9)
2024-02-21 22:26:43.515155|INFO    |VirtualServer |1  |permission 'i_group_needed_member_remove_power'(id:169) with values (value:60, negated:0, skipchannel:0) was added by 'nferdica'(id:3) to servergroup 'GC 10'(id:9)
2024-02-21 22:26:43.515249|INFO    |VirtualServer |1  |permission 'b_virtualserver_connectioninfo_view'(id:26) with values (value:1, negated:0, skipchannel:0) was added by 'nferdica'(id:3) to servergroup 'GC 10'(id:9)
2024-02-21 22:26:43.515338|INFO    |VirtualServer |1  |permission 'i_channel_modify_power'(id:124) with values (value:50, negated:0, skipchannel:0) was added by 'nferdica'(id:3) to servergroup 'GC 10'(id:9)
2024-02-21 22:26:43.515413|INFO    |VirtualServer |1  |permission 'i_client_needed_move_power'(id:205) with values (value:50, negated:0, skipchannel:0) was added by 'nferdica'(id:3) to servergroup 'GC 10'(id:9)
2024-02-21 22:26:43.515497|INFO    |VirtualServer |1  |permission 'b_channel_create_child'(id:88) with values (value:1, negated:0, skipchannel:0) was added by 'nferdica'(id:3) to servergroup 'GC 10'(id:9)
2024-02-21 22:26:43.515579|INFO    |VirtualServer |1  |permission 'b_channel_create_semi_permanent'(id:90) with values (value:1, negated:0, skipchannel:0) was added by 'nferdica'(id:3) to servergroup 'GC 10'(id:9)
2024-02-21 22:26:43.515663|INFO    |VirtualServer |1  |permission 'b_channel_create_temporary'(id:91) with values (value:1, negated:0, skipchannel:0) was added by 'nferdica'(id:3) to servergroup 'GC 10'(id:9)
